date,light_log_pred,light_price_pred,light_price_lo_95,light_price_hi_95,heavy_log_pred,heavy_price_pred,heavy_price_lo_95,heavy_price_hi_95
2026-03-01,,,,,4.1538685112460065,63.67987071125634,54.66075283066306,74.1871584967911
2026-04-01,4.409930282054239,82.26372804614178,69.69306626928054,97.10178234807397,4.15203365798693,63.56313462249184,51.215967331435195,78.88696228055413
2026-05-01,4.346106466712941,77.17738446069546,61.043590728612855,97.57533266145315,4.148289205276123,63.325570522089464,48.60692330449319,82.50116669238832
2026-06-01,4.289253706084164,72.91203438258312,54.7090243744829,97.17162421720172,4.136363188213031,62.57483423248629,46.1048464007365,84.92837922480508
2026-07-01,4.2350994482489135,69.06854713805498,49.57271346019603,96.23165388338333,4.113708272895378,61.17314419683874,43.47605174092343,86.07390554291719
2026-08-01,4.183438546625268,65.5910036212325,45.269459697850564,95.03492607942052,4.081861547078008,59.25567447017829,40.76277176333659,86.13827777221623
2026-09-01,4.137011753138794,62.615431238679015,41.713057908181476,93.99196380749508,4.045777877136976,57.15562880329245,38.157104637676746,85.61356882078816
2026-10-01,4.09988378722449,60.333275692509574,38.90568194781306,93.56227608787573,4.012301138436797,55.27391726695093,35.88561479851072,85.13734395211
2026-11-01,4.075684619100315,58.89078454627638,36.84235401997221,94.13417238746138,3.9881716483993443,53.9561483140202,34.12410325074158,85.314064357758
2026-12-01,4.066131683400608,58.33088327659068,35.46844176599789,95.93012194544932,3.978094786486325,53.41516991811111,32.95502171833197,86.57801538615094
2027-01-01,4.070188610615379,58.56800809825866,34.667056272666784,98.94729871547356,3.9833812696589543,53.69829602637533,32.35788877286821,89.11295221936824
2027-02-01,4.0840554271821805,59.38581702183595,34.2628393528476,102.93003527910707,4.001517860747873,54.68108534819278,32.21626345765693,92.81092137783891
2027-03-01,4.10196986586666,60.45926701856107,34.03943836102197,107.3849377199866,4.026779149445579,56.07999476881546,32.33435011285054,97.26392527742428
2027-04-01,4.117587736348515,61.41092410507554,33.773658200179554,111.66399497165807,4.0517130154391285,57.49586403781642,32.46873182929962,101.8140899014712
